=== CSOPESY REPORT ===
Total Memory: 2048 KB
Used Memory : 326 KB
Free Memory : 1722 KB
Paged In    : 32
Paged Out   : 30

--- Process List ---
- p023 (ID: 23) | 135 KB | PAGED OUT | FINISHED
- p049 (ID: 49) | 149 KB | PAGED OUT | FINISHED
- p055 (ID: 55) | 183 KB | PAGED OUT | RUNNING
- p007 (ID: 7) | 179 KB | PAGED OUT | FINISHED
- p011 (ID: 11) | 250 KB | PAGED OUT | FINISHED
- p035 (ID: 35) | 245 KB | PAGED OUT | FINISHED
- p039 (ID: 39) | 197 KB | PAGED OUT | FINISHED
- p015 (ID: 15) | 243 KB | PAGED OUT | FINISHED
- p017 (ID: 17) | 231 KB | PAGED OUT | FINISHED
- p033 (ID: 33) | 254 KB | PAGED OUT | FINISHED
- p005 (ID: 5) | 221 KB | PAGED OUT | FINISHED
- p031 (ID: 31) | 203 KB | PAGED OUT | FINISHED
- p037 (ID: 37) | 237 KB | PAGED OUT | FINISHED
- p041 (ID: 41) | 128 KB | PAGED OUT | FINISHED
- p043 (ID: 43) | 139 KB | PAGED OUT | FINISHED
- p047 (ID: 47) | 250 KB | PAGED OUT | FINISHED
- p057 (ID: 57) | 158 KB | IN MEMORY | RUNNING
- p003 (ID: 3) | 163 KB | PAGED OUT | FINISHED
- p009 (ID: 9) | 207 KB | PAGED OUT | FINISHED
- p029 (ID: 29) | 228 KB | PAGED OUT | FINISHED
- p045 (ID: 45) | 209 KB | PAGED OUT | FINISHED
- p059 (ID: 59) | 207 KB | PAGED OUT | RUNNING
- p001 (ID: 1) | 242 KB | PAGED OUT | FINISHED
- p013 (ID: 13) | 231 KB | PAGED OUT | FINISHED
- p053 (ID: 53) | 173 KB | PAGED OUT | FINISHED
- p019 (ID: 19) | 178 KB | PAGED OUT | FINISHED
- p027 (ID: 27) | 226 KB | PAGED OUT | FINISHED
- p061 (ID: 61) | 135 KB | PAGED OUT | RUNNING
- p025 (ID: 25) | 189 KB | PAGED OUT | FINISHED
- p051 (ID: 51) | 173 KB | PAGED OUT | FINISHED
- p063 (ID: 63) | 168 KB | IN MEMORY | RUNNING
- p021 (ID: 21) | 137 KB | PAGED OUT | FINISHED
